rank,name,position,team,games,adp,bye,sos,injury_risk,floor_proj,consensus_proj,ds_proj,ceiling_proj,three_d_value,tier_overall,tier_positional,age,years_in_nfl,value_change
35,Breece Hall,RB,NYJ,17,3.08,13,-2.5%,43%,214.9,233,250,317.4,44,4,4,25,4,2.8
34,Colston Loveland,TE,CHI,17,4.06,10,-3.6%,60%,197.4,223,241,288.9,44,4,2,22,1,1.7
32,Tee Higgins,WR,CIN,17,4.03,6,4%,66%,217,219,244,302.3,45,4,4,27,6,0.3
37,Jaylen Waddle,WR,DEN,17,4.07,10,-2.5%,37%,199.4,201,235,300.3,40,4,4,27,5,3.6
38,Tyler Warren,TE,IND,17,5.07,13,1.5%,36%,190.3,204,229,265.9,39,4,2,24,1,4.1
39,Javonte Williams,RB,DAL,17,3.07,14,2.9%,43%,209.1,225,240,305.3,38,4,4,26,5,3.0
45,Christian Watson,WR,GB,17,6.02,11,1.3%,25%,190.1,185,226,289.7,35,5,5,27,4,4.6
43,Emeka Egbuka,WR,TB,17,3.12,10,2.6%,42%,193.9,200,223,298.6,36,5,5,23,1,3.1
44,Tetairoa McMillan,WR,CAR,17,4.01,5,-1.3%,37%,200.9,218,223,290.2,35,5,5,23,1,4.1
36,Josh Jacobs,RB,GB,17,3.10,11,-2.2%,67%,188.1,241,254,315.1,42,4,4,28,7,-3.4
48,Ladd McConkey,WR,LAC,17,4.09,7,-2.6%,42%,194.3,215,221,295.9,35,5,5,24,2,3.1
42,Kyren Williams,RB,LAR,17,3.06,11,6.4%,52%,209.6,222,233,302.8,36,5,4,25,4,1.8
46,Lamar Jackson,QB,BAL,17,4.11,13,1.1%,42%,298.8,328,340,438.1,35,5,1,29,8,2.7
40,Travis Etienne,RB,NO,17,4.02,8,1.8%,45%,210.5,214,229,315.8,37,4,4,27,5,0.6
47,Luther Burden III,WR,CHI,17,4.08,10,-2.5%,54%,184.7,194,223,300.4,35,5,5,22,1,1.8
