rank,name,position,team,games,adp,bye,sos,injury_risk,floor_proj,consensus_proj,ds_proj,ceiling_proj,three_d_value,tier_overall,tier_positional,age,years_in_nfl
1,Puka Nacua,WR,LAR,17,1.04,11,-3.1%,51%,268,326,357,396.7,100,1,1,25,3
2,Jahmyr Gibbs,RB,DET,17,1.01,6,0.9%,54%,290.4,341,359,412.3,100,1,1,24,3
3,Ja'Marr Chase,WR,CIN,17,1.03,6,4%,37%,298.2,302,339,399.8,98,1,1,26,5
4,Bijan Robinson,RB,ATL,17,1.02,11,-3.2%,25%,294,347,346,404.7,95,1,1,24,3
5,Christian McCaffrey,RB,SF,17,1.05,8,0.7%,78%,274.7,315,331,410.5,89,1,1,30,9
6,Jaxon Smith-Njigba,WR,SEA,17,1.06,11,-0.1%,39%,286.7,292,315,374.9,86,2,2,24,3
7,Amon-Ra St. Brown,WR,DET,17,1.08,6,-1%,37%,287.9,283,316,357.5,83,2,2,26,5
8,CeeDee Lamb,WR,DAL,17,1.11,14,-0.7%,44%,262.2,259,301,361.6,77,2,2,27,6
9,Justin Jefferson,WR,MIN,17,1.12,6,4.9%,36%,248,251,292,379.3,75,2,2,27,6
10,Jonathan Taylor,RB,IND,17,1.07,13,1.7%,37%,254,302,299,364.6,70,2,2,27,6
11,Ashton Jeanty,RB,LVR,17,1.10,13,-3.1%,39%,254.9,265,293,369.1,69,2,2,22,1
12,James Cook,RB,BUF,17,1.09,7,-4.2%,36%,255.1,265,293,360.7,68,2,2,26,4
13,Drake London,WR,ATL,17,2.06,11,0.4%,73%,254.8,262,277,332.4,64,3,3,25,4
14,A.J. Brown,WR,NE,17,2.07,11,-2.5%,61%,228.5,249,272,345.4,62,3,3,29,7
15,Nico Collins,WR,HOU,17,2.11,8,4.4%,49%,235.9,234,271,330.8,60,3,3,27,5
16,Rashee Rice,WR,KC,17,3.04,5,-2.6%,74%,210,232,276,334.4,60,3,3,26,3
17,Saquon Barkley,RB,PHI,17,2.04,10,4.4%,35%,232.8,255,268,369.3,59,3,2,29,8
18,Kenneth Walker III,RB,KC,17,2.05,5,0.6%,34%,225.4,250,268,362.3,57,3,3,25,4
19,De'Von Achane,RB,MIA,17,2.01,6,0.8%,68%,235,281,270,348.5,57,3,3,24,3
20,George Pickens,WR,DAL,17,2.12,14,-0.7%,36%,232.9,240,262,327.2,56,3,3,25,4
21,Chase Brown,RB,CIN,17,2.02,6,-4%,45%,226.7,257,267,354.8,56,3,3,26,3
22,Brock Bowers,TE,LVR,17,2.09,13,-1%,81%,235.9,234,259,313.7,54,3,1,23,2
